time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-28 00:00:00+00:00,2,2,2,1
2026-06-29 00:00:00+00:00,9,7,11,7
2026-06-30 00:00:00+00:00,5,3,2,2
2026-07-01 00:00:00+00:00,6,6,0,0
2026-07-02 00:00:00+00:00,9,9,2,2
2026-07-03 00:00:00+00:00,3,3,0,0
2026-07-04 00:00:00+00:00,3,3,0,0
2026-07-05 00:00:00+00:00,4,4,0,0
2026-07-06 00:00:00+00:00,10,8,4,1
2026-07-07 00:00:00+00:00,6,5,2,2
2026-07-08 00:00:00+00:00,2,2,4,1
2026-07-09 00:00:00+00:00,11,6,9,2
2026-07-10 00:00:00+00:00,215,69,15,3
2026-07-11 00:00:00+00:00,151,54,36,3
