time_iso8601,stars_cumulative
2024-10-04 00:00:00+00:00,1
2024-11-04 00:00:00+00:00,2
2024-11-22 00:00:00+00:00,3
2024-12-05 00:00:00+00:00,4
2025-02-14 00:00:00+00:00,5
2025-02-18 00:00:00+00:00,6
2025-02-20 00:00:00+00:00,7
2025-02-24 00:00:00+00:00,8
2025-03-14 00:00:00+00:00,9
2025-04-14 00:00:00+00:00,10
2025-05-21 00:00:00+00:00,11
2025-08-18 00:00:00+00:00,12
2025-10-02 00:00:00+00:00,13
2025-10-16 00:00:00+00:00,14
2025-10-22 00:00:00+00:00,15
2025-12-02 00:00:00+00:00,17
2025-12-04 00:00:00+00:00,18
2026-02-09 00:00:00+00:00,19
2026-02-20 00:00:00+00:00,20
