time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-16 00:00:00+00:00,74,20,25,4
2026-02-17 00:00:00+00:00,31,12,14,4
2026-02-18 00:00:00+00:00,67,25,43,3
2026-02-19 00:00:00+00:00,191,62,103,10
2026-02-20 00:00:00+00:00,385,121,216,9
2026-02-21 00:00:00+00:00,61,19,21,6
2026-02-22 00:00:00+00:00,145,8,5,5
2026-02-23 00:00:00+00:00,196,64,160,7
2026-02-24 00:00:00+00:00,8,6,36,8
2026-02-25 00:00:00+00:00,67,24,67,3
2026-02-26 00:00:00+00:00,581,170,150,8
2026-02-27 00:00:00+00:00,416,127,202,4
2026-02-28 00:00:00+00:00,46,17,39,2
2026-03-01 00:00:00+00:00,6,5,2,2
2026-03-02 00:00:00+00:00,8,4,23,2
2026-03-03 00:00:00+00:00,16,6,22,4
2026-03-04 00:00:00+00:00,5,4,38,4
2026-03-05 00:00:00+00:00,7,4,41,5
