time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-23 00:00:00+00:00,4,4,8,2
2026-07-24 00:00:00+00:00,1,1,47,2
2026-07-25 00:00:00+00:00,0,0,0,0
2026-07-26 00:00:00+00:00,2,2,9,1
2026-07-27 00:00:00+00:00,2,1,19,2
2026-07-28 00:00:00+00:00,1,1,2,1
2026-07-29 00:00:00+00:00,20,6,57,7
2026-07-30 00:00:00+00:00,6,4,36,8
2026-07-31 00:00:00+00:00,55,3,12,4
2026-08-01 00:00:00+00:00,0,0,0,0
2026-08-02 00:00:00+00:00,0,0,0,0
2026-08-03 00:00:00+00:00,1,1,6,3
2026-08-04 00:00:00+00:00,4,2,12,3
2026-08-05 00:00:00+00:00,1,1,56,2
