time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-26 00:00:00+00:00,0,0,0,0
2026-06-27 00:00:00+00:00,0,0,2,2
2026-06-28 00:00:00+00:00,0,0,3,3
2026-06-29 00:00:00+00:00,22,1,13,2
2026-06-30 00:00:00+00:00,0,0,2,2
2026-07-01 00:00:00+00:00,8,2,10,2
2026-07-02 00:00:00+00:00,74,4,51,3
2026-07-03 00:00:00+00:00,9,1,9,3
2026-07-04 00:00:00+00:00,2,2,1,1
2026-07-05 00:00:00+00:00,0,0,0,0
2026-07-06 00:00:00+00:00,32,11,10,4
2026-07-07 00:00:00+00:00,1,1,7,2
2026-07-08 00:00:00+00:00,1,1,2,2
2026-07-09 00:00:00+00:00,3,2,4,1
