time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-23 00:00:00+00:00,1,1,3,2
2026-03-24 00:00:00+00:00,3,3,15,8
2026-03-25 00:00:00+00:00,5,4,184,8
2026-03-26 00:00:00+00:00,51,12,154,7
2026-03-27 00:00:00+00:00,10,3,40,5
2026-03-28 00:00:00+00:00,0,0,27,3
2026-03-29 00:00:00+00:00,1,1,1,1
2026-03-30 00:00:00+00:00,3,3,31,6
2026-03-31 00:00:00+00:00,3,3,21,7
2026-04-01 00:00:00+00:00,1,1,8,3
2026-04-02 00:00:00+00:00,35,22,47,8
2026-04-03 00:00:00+00:00,4,4,17,7
2026-04-04 00:00:00+00:00,1,1,8,2
2026-04-05 00:00:00+00:00,3,3,7,2
